battery,temp_c,soc_label_v,current_a,pulse_index,v_pre_v,v_min_v,v_0p05_v,v_0p10_v,r0_ohm_pack,rdc_ohm_pack,r1_ohm_pack,soc_est
202502130054,30.0,30,20,1,29.54000,27.75000,28.38660,28.18660,0.062670,0.089500,0.026830,0.215000
202502130054,30.0,30,20,2,28.76000,27.76000,28.21565,28.16830,0.028401,0.050000,0.021599,0.055455
202502130054,30.0,30,20,3,28.76000,27.77000,28.30839,28.17574,0.025897,0.049500,0.023603,0.055455
202502130054,30.0,30,10,1,29.27000,28.78000,29.05226,28.99191,0.024791,0.049000,0.024209,0.145000
202502130054,30.0,30,10,2,29.73000,28.77000,29.05404,28.98860,0.070868,0.096000,0.025132,0.280000
202502130054,30.0,30,10,3,29.79000,28.75000,29.06043,28.95873,0.078042,0.104000,0.025958,0.296667
202502130054,30.0,32,30,1,31.81000,28.50000,30.28128,29.40596,0.065546,0.110333,0.044787,0.653000
202502130054,30.0,32,30,2,30.40000,28.48000,29.38125,29.24672,0.036200,0.064000,0.027800,0.447500
202502130054,30.0,32,30,3,30.40000,28.46000,29.34200,29.20867,0.037489,0.064667,0.027178,0.447500
202502130054,30.0,32,20,1,30.70000,29.46000,30.00478,29.94750,0.036193,0.062000,0.025807,0.503333
202502130054,30.0,32,20,2,30.45000,29.44000,29.96758,29.92726,0.025129,0.050500,0.025371,0.457500
202502130054,30.0,32,20,3,31.23000,29.39000,30.08800,29.88800,0.062100,0.092000,0.029900,0.590000
202502130054,30.0,32,10,1,30.91000,30.33000,30.58872,30.55918,0.033605,0.058000,0.024395,0.538333
202502130054,30.0,32,10,2,31.37000,30.29000,30.65371,30.54887,0.076871,0.108000,0.031129,0.610714
202502130054,30.0,32,10,3,30.59000,30.26000,30.49952,30.49145,0.009452,0.033000,0.023548,0.484000
202502130054,30.0,35,30,1,31.14000,30.28000,31.11222,31.08444,0.001389,0.028667,0.027278,0.575000
202502130054,30.0,35,30,2,31.17000,30.33000,31.14685,31.12370,0.001157,0.028000,0.026843,0.580000
202502130054,30.0,35,30,3,31.22000,30.40000,31.19685,31.17370,0.001157,0.027333,0.026176,0.588333
202502130054,30.0,35,20,1,32.09000,31.55000,32.07585,32.06170,0.001061,0.027000,0.025939,0.691250
202502130054,30.0,35,20,2,32.05000,31.51000,32.03624,32.02248,0.001032,0.027000,0.025968,0.685714
202502130054,30.0,35,20,3,32.01000,31.47000,31.99611,31.98222,0.001042,0.027000,0.025958,0.679000
202502130054,30.0,35,10,1,32.79000,32.52000,32.78537,32.78074,0.000694,0.027000,0.026306,0.775000
202502130054,30.0,35,10,2,32.76000,32.48000,32.75537,32.75074,0.000694,0.028000,0.027306,0.770714
202502130054,30.0,35,10,3,32.72000,32.45000,32.71537,32.71074,0.000694,0.027000,0.026306,0.766111
202502130054,40.0,30,30,1,29.27000,27.05000,28.06196,27.69597,0.046368,0.074000,0.027632,0.145000
